Model,Accuracy,Precision,Recall,F1 Score,Training Time
Logistic Regression,0.808,0.5891472868217055,0.18673218673218672,0.2835820895522388,0.02144598960876465
Decision Tree,0.794,0.49414519906323184,0.5184275184275184,0.5059952038369304,0.041803598403930664
Random Forest,0.8615,0.7642276422764228,0.4619164619164619,0.5758039816232772,1.436002492904663
